reddID,stream,year,date,prs,size,clusterID,clust,doy,supbin,meddate,reldoy,dum,yearid,streamid
L-R-003,lower,2019,2019-06-13,0.1,0.7167970088288371,L-CL-004,1,164,1,177,-13,1,1,1
L-R-004,lower,2019,2019-06-13,0,0.816381963233003,NA,0,164,0,177,-13,1,1,1
L-R-005,lower,2019,2019-06-13,0.5,0.87394180747642225,L-CL-002,1,164,1,177,-13,1,1,1
L-R-007,lower,2019,2019-06-21,0,0.3984377873634713,NA,0,172,0,177,-5,1,1,1
L-R-008,lower,2019,2019-06-21,0.3,1.4562001109152765,L-CL-005,1,172,1,177,-5,1,1,1
L-R-010,lower,2019,2019-06-21,0,1.0495997971453668,NA,0,172,0,177,-5,1,1,1
L-R-011,lower,2019,2019-06-21,0.8,0.86040337258095545,L-CL-008,1,172,1,177,-5,1,1,1
L-R-012,lower,2019,2019-06-21,0.8,0.8426111076809862,L-CL-008,1,172,1,177,-5,1,1,1
L-R-014,lower,2019,2019-06-21,0.3,-Inf,L-CL-010,1,172,1,177,-5,1,1,1
L-R-015,lower,2019,2019-06-21,0.3,1.8758816884569471,L-CL-010,1,172,1,177,-5,1,1,1
L-R-016,lower,2019,2019-06-21,0,0.8050268090634014,NA,0,172,0,177,-5,1,1,1
L-R-017,lower,2019,2019-06-21,0,1.3305716057496106,NA,0,172,0,177,-5,1,1,1
L-R-018,lower,2019,2019-06-21,0,1.8842494908170964,NA,0,172,0,177,-5,1,1,1
L-R-019,lower,2019,2019-06-24,0.8,1.6032773667919031,L-CL-002,1,175,1,177,-2,1,1,1
L-R-020,lower,2019,2019-06-24,0.5,1.7561936952792983,L-CL-002,1,175,1,177,-2,1,1,1
L-R-021,lower,2019,2019-06-24,0,1.0418345749664848,NA,0,175,0,177,-2,1,1,1
L-R-022,lower,2019,2019-06-26,0.3,1.0500957019616293,L-CL-008,1,177,1,177,0,1,1,1
L-R-023,lower,2019,2019-06-24,0.1,1.4977036409944993,L-CL-010,1,175,1,177,-2,1,1,1
L-R-024,lower,2019,2019-06-26,0,1.3357672196241017,L-CL-001,1,177,0,177,0,1,1,1
L-R-025,lower,2019,2019-06-26,0.3,0.7088602607378043,L-CL-002,1,177,1,177,0,1,1,1
L-R-026,lower,2019,2019-06-26,0.1,1.1610143619108544,L-CL-003,1,177,1,177,0,1,1,1
L-R-027,lower,2019,2019-06-26,0,1.456794616320245,L-CL-004,1,177,0,177,0,1,1,1
L-R-028,lower,2019,2019-06-26,0.1,2.0902030948947274,L-CL-007,1,177,1,177,0,1,1,1
L-R-029,lower,2019,2019-06-26,0,1.0111399530571157,L-CL-008,1,177,0,177,0,1,1,1
L-R-030,lower,2019,2019-06-26,0.7,1.3659011492542514,L-CL-009,1,177,1,177,0,1,1,1
L-R-031,lower,2019,2019-06-26,0.4,1.3406898682091932,L-CL-009,1,177,1,177,0,1,1,1
L-R-032,lower,2019,2019-06-29,0,0.6514416619954169,NA,0,180,0,177,3,1,1,1
L-R-033,lower,2019,2019-06-29,0,0.8747441122026944,NA,0,180,0,177,3,1,1,1
L-R-034,lower,2019,2019-07-06,0,1.5246234311527538,NA,0,187,0,177,10,1,1,1
L-R-036,lower,2019,2019-06-29,0,0.6601571213257251,NA,0,180,0,177,3,1,1,1
L-R-037,lower,2019,2019-06-29,0,0.6609298395669665,NA,0,180,0,177,3,1,1,1
L-R-038,lower,2019,2019-07-02,0.4,1.67220504512708,L-CL-011,1,183,1,177,6,1,1,1
L-R-039,lower,2019,2019-07-02,0.4,1.423042556066521,L-CL-006,1,183,1,177,6,1,1,1
L-R-040,lower,2019,2019-07-02,0.4,1.1003224507265095,L-CL-006,1,183,1,177,6,1,1,1
L-R-041,lower,2019,2019-07-02,0.4,1.6406320389585027,L-CL-011,1,183,1,177,6,1,1,1
L-R-042,lower,2019,2019-07-06,0.1,0.9269181437392819,L-CL-002,1,187,1,177,10,1,1,1
L-R-043,lower,2019,2019-07-06,0,0.7930887569797602,L-CL-002,1,187,0,177,10,1,1,1
L-R-047,lower,2019,2019-07-09,0.3,1.4225766162404285,L-CL-005,1,190,1,177,13,1,1,1
L-R-050,lower,2019,2019-07-09,0,0.949652424070621,NA,0,190,0,177,13,1,1,1
L-R-052,lower,2019,2019-07-13,0,0.8269285042573493,NA,0,194,0,177,17,1,1,1
L-R-053,lower,2019,2019-07-13,0,0.6201380884016081,NA,0,194,0,177,17,1,1,1
L-R-054,lower,2019,2019-07-13,0,0.7889557331987844,L-CL-005,1,194,0,177,17,1,1,1
L-R-056,lower,2019,2019-07-13,0,1.1387689209665164,L-CL-010,1,194,0,177,17,1,1,1
L-R-059,lower,2019,2019-07-23,0,0.8227894874783398,L-CL-007,1,204,0,177,27,1,1,1
L-R-060,lower,2019,2019-07-20,0,1.5048701311276944,NA,0,201,0,177,24,1,1,1
L-R-061,lower,2019,2019-07-20,0,0.740768559375334,NA,0,201,0,177,24,1,1,1
L-R-065,lower,2019,2019-07-27,0,0.9101081627591731,L-CL-009,1,208,0,177,31,1,1,1
LR001,lower,2021,2021-05-25,0.8,1.5003281956282333,LCL001,1,145,1,176,-31,2,2,1
LR002,lower,2021,2021-05-25,0.8,1.0755964763538224,LCL007,1,145,1,176,-31,2,2,1
LR003,lower,2021,2021-05-25,1,-Inf,LCL002,1,145,1,176,-31,2,2,1
LR004,lower,2021,2021-05-28,0.9,1.5081705697712788,LCL003,1,148,1,176,-28,2,2,1
LR005,lower,2021,2021-05-25,1,1.3995767514699002,LCL006,1,145,1,176,-31,2,2,1
LR006,lower,2021,2021-05-25,0.6,1.5049817901436955,LCL001,1,145,1,176,-31,2,2,1
LR007,lower,2021,2021-05-25,1,1.0396016469832223,LCL002,1,145,1,176,-31,2,2,1
LR009,lower,2021,2021-06-04,1,1.066937729710172,LCL004,1,155,1,176,-21,2,2,1
LR012,lower,2021,2021-06-04,0.8,1.0296168706693223,LCL009,1,155,1,176,-21,2,2,1
LR014,lower,2021,2021-06-08,1,1.4626393034239085,LCL008,1,159,1,176,-17,2,2,1
LR015,lower,2021,2021-06-04,1,1.662695734351937,LCL006,1,155,1,176,-21,2,2,1
LR016,lower,2021,2021-06-08,1,-Inf,LCL005,1,159,1,176,-17,2,2,1
LR017,lower,2021,2021-06-08,0.9,1.257321083306256,LCL005,1,159,1,176,-17,2,2,1
LR018,lower,2021,2021-06-08,0,-Inf,NA,0,159,0,176,-17,2,2,1
LR019,lower,2021,2021-06-08,0.4,2.3572497625198396,LCL002,1,159,1,176,-17,2,2,1
LR020,lower,2021,2021-06-08,0.4,1.3447203801816936,LCL017,1,159,1,176,-17,2,2,1
LR021,lower,2021,2021-06-08,0.2,1.0575425382344337,LCL018,1,159,1,176,-17,2,2,1
LR022,lower,2021,2021-06-08,0.5,1.2408192685934722,LCL006,1,159,1,176,-17,2,2,1
LR024,lower,2021,2021-06-18,0.2,1.3664872013777827,LCL005,1,169,1,176,-7,2,2,1
LR025,lower,2021,2021-06-11,0.2,1.2892807955584982,LCL010,1,162,1,176,-14,2,2,1
LR026,lower,2021,2021-06-11,0.3,2.479386557778353,LCL003,1,162,1,176,-14,2,2,1
LR027,lower,2021,2021-06-15,0.6,1.5031049093278401,LCL020,1,166,1,176,-10,2,2,1
LR029,lower,2021,2021-06-11,0.9,1.4770980104806317,LCL011,1,162,1,176,-14,2,2,1
LR030,lower,2021,2021-06-15,0.8,0.9278014485652972,LCL007,1,166,1,176,-10,2,2,1
LR031,lower,2021,2021-06-15,0.5,1.8311661006840931,LCL015,1,166,1,176,-10,2,2,1
LR032,lower,2021,2021-06-15,0.3,1.938090143564832,LCL010B,1,166,1,176,-10,2,2,1
LR033,lower,2021,2021-06-15,0,1.4841271663325646,NA,0,166,0,176,-10,2,2,1
LR034,lower,2021,2021-06-15,0.9,1.921138223157603,LCL004,1,166,1,176,-10,2,2,1
LR035,lower,2021,2021-06-15,0,0.9541418735241426,NA,0,166,0,176,-10,2,2,1
LR036,lower,2021,2021-06-15,0.9,1.169369862853986,LCL019,1,166,1,176,-10,2,2,1
LR037,lower,2021,2021-06-18,0.9,1.2261897295506863,LCL008,1,169,1,176,-7,2,2,1
LR038,lower,2021,2021-06-18,1,-Inf,LCL008,1,169,1,176,-7,2,2,1
LR039,lower,2021,2021-06-18,0.6,1.1899328484555278,LCL008,1,169,1,176,-7,2,2,1
LR040,lower,2021,2021-06-15,1,2.439595384947906,LCL006,1,166,1,176,-10,2,2,1
LR042,lower,2021,2021-06-22,0.9,0.8677903419576102,LCL009,1,173,1,176,-3,2,2,1
LR043,lower,2021,2021-06-22,0.2,0.9812120563909542,LCL015,1,173,1,176,-3,2,2,1
LR044,lower,2021,2021-06-18,0.6,1.9145633996408342,LCL010B,1,169,1,176,-7,2,2,1
LR045,lower,2021,2021-06-29,0.7,-Inf,LCL010,1,180,1,176,4,2,2,1
LR046,lower,2021,2021-06-18,0,1.5771183088788225,NA,0,169,0,176,-7,2,2,1
LR047,lower,2021,2021-06-22,0.9,1.4906695645757602,LCL005B,1,173,1,176,-3,2,2,1
LR048,lower,2021,2021-06-18,0.1,0.8751695519789158,LCL005B,1,169,1,176,-7,2,2,1
LR049,lower,2021,2021-06-18,0.6,1.446902826102156,LCL002,1,169,1,176,-7,2,2,1
LR050,lower,2021,2021-06-18,0.8,1.6474572436247112,LCL004,1,169,1,176,-7,2,2,1
LR051,lower,2021,2021-06-22,0.2,1.2937727052954233,LCL022,1,173,1,176,-3,2,2,1
LR052,lower,2021,2021-06-18,0,0.6605480540501085,NA,0,169,0,176,-7,2,2,1
LR053,lower,2021,2021-06-18,0,0.6051200769178421,LCL003,1,169,0,176,-7,2,2,1
LR054,lower,2021,2021-06-18,0,1.1563745197487754,LCL003,1,169,0,176,-7,2,2,1
LR055,lower,2021,2021-06-22,0.1,0.9646619822729496,LCL023,1,173,1,176,-3,2,2,1
LR056,lower,2021,2021-06-18,0,0.6431418013077159,NA,0,169,0,176,-7,2,2,1
LR057,lower,2021,2021-06-22,0.4,-Inf,LCL008,1,173,1,176,-3,2,2,1
LR058,lower,2021,2021-06-18,0.2,1.457406028288088,LCL021,1,169,1,176,-7,2,2,1
LR059,lower,2021,2021-06-18,1,1.4214735260970415,LCL006,1,169,1,176,-7,2,2,1
LR060,lower,2021,2021-06-18,0.5,0.9618430021661563,LCL011,1,169,1,176,-7,2,2,1
LR061,lower,2021,2021-06-22,0,0.9394024418226707,NA,0,173,0,176,-3,2,2,1
LR062,lower,2021,2021-06-22,0,1.2550737090435224,NA,0,173,0,176,-3,2,2,1
LR063,lower,2021,2021-06-22,0.2,1.2835051225585101,LCL026,1,173,1,176,-3,2,2,1
LR064,lower,2021,2021-06-22,0.2,1.3325255754454397,LCL014,1,173,1,176,-3,2,2,1
LR065,lower,2021,2021-06-25,0,0.43251984101420193,NA,0,176,0,176,0,2,2,1
LR066,lower,2021,2021-06-22,0.1,0.6255488824476131,LCL007,1,173,1,176,-3,2,2,1
